cliente_id,nombre,correo,fecha_registro,estado
1,Cliente 1,cliente1@poc.local,2024-01-01,ACTIVO
2,Cliente 2,cliente2@poc.local,2024-01-02,ACTIVO
3,Cliente 3,cliente3@poc.local,2024-01-03,ACTIVO
4,Cliente 4,cliente4@poc.local,2024-01-04,ACTIVO
5,Cliente 5,cliente5@poc.local,2024-01-05,ACTIVO
6,Cliente 6,cliente6@poc.local,2024-01-06,ACTIVO
7,Cliente 7,cliente7@poc.local,2024-01-07,ACTIVO
8,Cliente 8,cliente8@poc.local,2024-01-08,ACTIVO
9,Cliente 9,cliente9@poc.local,2024-01-09,ACTIVO
10,Cliente 10,cliente10@poc.local,2024-01-10,INACTIVO
11,Cliente 11,cliente11@poc.local,2024-01-11,ACTIVO
12,Cliente 12,cliente12@poc.local,2024-01-12,ACTIVO
13,Cliente 13,cliente13@poc.local,2024-01-13,ACTIVO
14,Cliente 14,cliente14@poc.local,2024-01-14,ACTIVO
15,Cliente 15,cliente15@poc.local,2024-01-15,ACTIVO
16,Cliente 16,cliente16@poc.local,2024-01-16,ACTIVO
17,Cliente 17,cliente17@poc.local,2024-01-17,ACTIVO
18,Cliente 18,cliente18@poc.local,2024-01-18,ACTIVO
19,Cliente 19,cliente19@poc.local,2024-01-19,ACTIVO
20,Cliente 20,cliente20@poc.local,2024-01-20,SUSPENDIDO
21,Cliente 21,cliente21@poc.local,2024-01-21,ACTIVO
22,Cliente 22,cliente22@poc.local,2024-01-22,ACTIVO
23,Cliente 23,cliente23@poc.local,2024-01-23,ACTIVO
24,Cliente 24,cliente24@poc.local,2024-01-24,ACTIVO
25,Cliente 25,cliente25@poc.local,2024-01-25,ACTIVO
26,Cliente 26,cliente26@poc.local,2024-01-26,ACTIVO
27,Cliente 27,cliente27@poc.local,2024-01-27,ACTIVO
28,Cliente 28,cliente28@poc.local,2024-01-28,ACTIVO
29,Cliente 29,cliente29@poc.local,2024-01-29,ACTIVO
30,Cliente 30,cliente30@poc.local,2024-01-30,INACTIVO
31,Cliente 31,cliente31@poc.local,2024-01-31,ACTIVO
32,Cliente 32,cliente32@poc.local,2024-02-01,ACTIVO
33,Cliente 33,cliente33@poc.local,2024-02-02,ACTIVO
34,Cliente 34,cliente34@poc.local,2024-02-03,ACTIVO
